"id","facility_name","county_name","productive_hours","productive_hours_per_adjusted_patient_day"
1,"ALAMEDA HOSPITAL","Alameda",63558,1.17
2,"ALAMEDA HOSPITAL","Alameda",163706,3.02
3,"ALAMEDA HOSPITAL","Alameda",180034,3.32
4,"ALAMEDA HOSPITAL","Alameda",22323,0.41
5,"ALAMEDA HOSPITAL","Alameda",97205,1.79
6,"ALAMEDA HOSPITAL","Alameda",134039,2.47
7,"ALAMEDA HOSPITAL","Alameda",80229,1.48
8,"ALAMEDA HOSPITAL","Alameda",0,0.0
9,"ALAMEDA HOSPITAL","Alameda",31481,0.58
10,"ALAMEDA HOSPITAL","Alameda",8390,0.15
11,"ALAMEDA HOSPITAL","Alameda",260972,4.82
12,"ALAMEDA HOSPITAL","Alameda",46532,0.86
13,"ALAMEDA HOSPITAL","Alameda",196650,3.63
14,"ALAMEDA HOSPITAL","Alameda",0,0.0
15,"ALAMEDA HOSPITAL","Alameda",145124,2.68
16,"ALAMEDA HOSPITAL","Alameda",53108,0.98
17,"ALAMEDA HOSPITAL","Alameda",78579,1.45
18,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Alameda",205117,1.21
19,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Alameda",902371,5.33
20,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Alameda",1322810,7.82
21,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Alameda",109242,0.65
22,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Alameda",161345,0.95
23,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Alameda",566100,3.35
24,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Alameda",365945,2.16
25,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Alameda",60051,0.36
26,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Alameda",94164,0.56
27,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Alameda",40021,0.24
28,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Alameda",1461261,8.64
29,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Alameda",198081,1.17
30,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Alameda",1016398,6.01
31,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Alameda",5761,0.03
32,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Alameda",670770,3.97
33,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Alameda",127888,0.76
34,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Alameda",347007,2.05
35,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Alameda",369775,3.91
36,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Alameda",1270155,13.43
37,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Alameda",910869,9.63
38,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Alameda",35560,0.38
39,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Alameda",94571,1.0
40,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Alameda",678994,7.18
41,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Alameda",255009,2.7
42,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Alameda",236547,2.5
43,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Alameda",15639,0.17
44,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Alameda",147746,1.56
45,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Alameda",876774,9.27
46,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Alameda",458673,4.85
47,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Alameda",870142,9.2
48,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Alameda",655765,6.93
49,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Alameda",637945,6.75
50,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Alameda",198495,2.1
51,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Alameda",205979,2.18
52,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",12729,1.28
53,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",17640,1.78
54,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",357,0.04
55,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",0,0.0
56,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",14094,1.42
57,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",9945,1.0
58,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",5074,0.51
59,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",0,0.0
60,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",354,0.04
61,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",2061,0.21
62,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",33336,3.36
63,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",1368,0.14
64,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",0,0.0
65,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",0,0.0
66,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",9347,0.94
67,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",13975,1.41
68,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda",4228,0.43
69,"EDEN MEDICAL CENTER","Alameda",164648,1.88
70,"EDEN MEDICAL CENTER","Alameda",493238,5.64
71,"EDEN MEDICAL CENTER","Alameda",804088,9.2
72,"EDEN MEDICAL CENTER","Alameda",41493,0.47
73,"EDEN MEDICAL CENTER","Alameda",143285,1.64
74,"EDEN MEDICAL CENTER","Alameda",376872,4.31
75,"EDEN MEDICAL CENTER","Alameda",178356,2.04
76,"EDEN MEDICAL CENTER","Alameda",62313,0.71
77,"EDEN MEDICAL CENTER","Alameda",50414,0.58
78,"EDEN MEDICAL CENTER","Alameda",25653,0.29
79,"EDEN MEDICAL CENTER","Alameda",811485,9.28
80,"EDEN MEDICAL CENTER","Alameda",221808,2.54
81,"EDEN MEDICAL CENTER","Alameda",544921,6.23
82,"EDEN MEDICAL CENTER","Alameda",0,0.0
83,"EDEN MEDICAL CENTER","Alameda",415937,4.76
84,"EDEN MEDICAL CENTER","Alameda",112275,1.28
85,"EDEN MEDICAL CENTER","Alameda",233934,2.68
86,"ALAMEDA COUNTY MEDICAL CENTER","Alameda",306179,1.78
87,"ALAMEDA COUNTY MEDICAL CENTER","Alameda",949532,5.51
88,"ALAMEDA COUNTY MEDICAL CENTER","Alameda",991421,5.76
89,"ALAMEDA COUNTY MEDICAL CENTER","Alameda",126386,0.73
90,"ALAMEDA COUNTY MEDICAL CENTER","Alameda",289841,1.68
91,"ALAMEDA COUNTY MEDICAL CENTER","Alameda",718014,4.17
92,"ALAMEDA COUNTY MEDICAL CENTER","Alameda",383844,2.23
93,"ALAMEDA COUNTY MEDICAL CENTER","Alameda",376373,2.19
94,"ALAMEDA COUNTY MEDICAL CENTER","Alameda",287898,1.67
95,"ALAMEDA COUNTY MEDICAL CENTER","Alameda",60342,0.35
96,"ALAMEDA COUNTY MEDICAL CENTER","Alameda",1228755,7.14
97,"ALAMEDA COUNTY MEDICAL CENTER","Alameda",801345,4.65
98,"ALAMEDA COUNTY MEDICAL CENTER","Alameda",612747,3.56
99,"ALAMEDA COUNTY MEDICAL CENTER","Alameda",299641,1.74
100,"ALAMEDA COUNTY MEDICAL CENTER","Alameda",779669,4.53
101,"ALAMEDA COUNTY MEDICAL CENTER","Alameda",321293,1.87
102,"ALAMEDA COUNTY MEDICAL CENTER","Alameda",446380,2.59
103,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda",0,0.0
104,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda",0,0.0
105,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda",2294043,26.42
106,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda",14759,0.17
107,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda",221515,2.55
108,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda",0,0.0
109,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda",0,0.0
110,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda",3954571,45.54
111,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda",53097,0.61
112,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda",527,0.01
113,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda",2402187,27.66
