"id","facility_name","county_name","begin_date","end_date","productive_hours_per_adjusted_patient_day"
8,"ALAMEDA HOSPITAL","Alameda","2008-07-01","2009-06-30",0.0
14,"ALAMEDA HOSPITAL","Alameda","2008-07-01","2009-06-30",0.0
55,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda","2009-01-01","2009-12-31",0.0
59,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda","2009-01-01","2009-12-31",0.0
64,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda","2009-01-01","2009-12-31",0.0
65,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda","2009-01-01","2009-12-31",0.0
82,"EDEN MEDICAL CENTER","Alameda","2009-01-01","2009-12-31",0.0
103,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda","2009-01-01","2009-12-31",0.0
104,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda","2009-01-01","2009-12-31",0.0
108,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda","2009-01-01","2009-12-31",0.0
109,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda","2009-01-01","2009-12-31",0.0
118,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS","Alameda","2009-01-01","2009-12-31",0.0
120,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda","2009-01-01","2009-12-31",0.0
121,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda","2009-01-01","2009-12-31",0.0
125,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda","2009-01-01","2009-12-31",0.0
126,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda","2009-01-01","2009-12-31",0.0
135,"KAISER FOUNDATION HOSPITAL - HAYWARD","Alameda","2009-01-01","2009-12-31",0.0
144,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda","2009-01-01","2009-12-31",0.0
146,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda","2009-01-01","2009-12-31",0.0
148,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda","2009-01-01","2009-12-31",0.0
150,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","Alameda","2009-01-01","2009-12-31",0.0
184,"ST. ROSE HOSPITAL","Alameda","2008-10-01","2009-09-30",0.0
201,"WASHINGTON HOSPITAL - FREMONT","Alameda","2008-07-01","2009-06-30",0.0
211,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda","2009-01-01","2009-12-31",0.0
212,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda","2009-01-01","2009-12-31",0.0
213,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda","2009-01-01","2009-12-31",0.0
216,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda","2009-01-01","2009-12-31",0.0
217,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda","2009-01-01","2009-12-31",0.0
218,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda","2009-01-01","2009-12-31",0.0
219,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda","2009-01-01","2009-12-31",0.0
220,"MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPITAL","Alameda","2009-01-01","2009-12-31",0.0
