"id","facility_name","hours_type","productive_hours"
1,"ALAMEDA HOSPITAL","Management & Supervision",63558
2,"ALAMEDA HOSPITAL","Technician & Specialist",163706
3,"ALAMEDA HOSPITAL","Registered Nurse",180034
4,"ALAMEDA HOSPITAL","Licensed Vocational Nurse",22323
5,"ALAMEDA HOSPITAL","Aides & Orderlies",97205
6,"ALAMEDA HOSPITAL","Clerical & Other Administrative",134039
7,"ALAMEDA HOSPITAL","Environmental & Food Services",80229
8,"ALAMEDA HOSPITAL","Other",0
9,"ALAMEDA HOSPITAL","Contracted Registry Nursing",31481
10,"ALAMEDA HOSPITAL","Contracted Other",8390
11,"ALAMEDA HOSPITAL","Daily Cost Centers",260972
12,"ALAMEDA HOSPITAL","Ambulatory Cost Centers",46532
13,"ALAMEDA HOSPITAL","Ancillary Cost Centers",196650
14,"ALAMEDA HOSPITAL","Education Cost Centers",0
15,"ALAMEDA HOSPITAL","General Services Cost Centers",145124
16,"ALAMEDA HOSPITAL","Fiscal Services Cost Centers",53108
17,"ALAMEDA HOSPITAL","Administrative Services Cost Centers",78579
18,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Management & Supervision",205117
19,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Technician & Specialist",902371
20,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Registered Nurse",1322810
21,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Licensed Vocational Nurse",109242
22,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Aides & Orderlies",161345
23,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Clerical & Other Administrative",566100
24,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Environmental & Food Services",365945
25,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Other",60051
26,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Contracted Registry Nursing",94164
27,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Contracted Other",40021
28,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Daily Cost Centers",1461261
29,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Ambulatory Cost Centers",198081
30,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Ancillary Cost Centers",1016398
31,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Education Cost Centers",5761
32,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","General Services Cost Centers",670770
33,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Fiscal Services Cost Centers",127888
34,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","Administrative Services Cost Centers",347007
35,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Management & Supervision",369775
36,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Technician & Specialist",1270155
37,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Registered Nurse",910869
38,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Licensed Vocational Nurse",35560
39,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Aides & Orderlies",94571
40,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Clerical & Other Administrative",678994
41,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Environmental & Food Services",255009
42,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Other",236547
43,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Contracted Registry Nursing",15639
44,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Contracted Other",147746
45,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Daily Cost Centers",876774
46,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND","Ambulatory Cost Centers",458673
